Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_4_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Signal_4_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,173,39,42,49,43,G:28|R:62,G:22|R:68,G:27|R:63,G:51|R:39,16.88,42.34
Monday,1,173,46,42,45,40,G:23|R:67,G:46|R:44,G:26|R:64,G:46|R:44,16.04,20.36
Monday,2,330,90,80,83,77,G:51|R:39,G:28|R:62,G:38|R:52,G:56|R:34,5.38,43.91
Monday,3,347,89,76,91,91,G:22|R:68,G:37|R:53,G:37|R:53,G:22|R:68,7.48,23.87
Monday,4,262,53,73,63,73,G:20|R:70,G:58|R:32,G:29|R:61,G:40|R:50,9.92,36.74
Monday,5,251,59,58,70,64,G:59|R:31,G:53|R:37,G:57|R:33,G:50|R:40,11.66,10.32
Monday,6,395,95,97,101,102,G:37|R:53,G:31|R:59,G:41|R:49,G:49|R:41,15.8,27.44
Monday,7,922,241,246,200,235,G:24|R:96,G:21|R:99,G:50|R:70,G:24|R:96,8.46,29.62
Monday,8,545,117,138,140,150,G:20|R:100,G:42|R:78,G:44|R:76,G:26|R:94,9.28,38.0
Monday,9,291,71,76,67,77,G:37|R:83,G:47|R:73,G:59|R:61,G:29|R:91,9.63,24.49
Monday,10,280,73,64,70,73,G:21|R:99,G:33|R:87,G:34|R:86,G:23|R:97,14.68,38.89
Monday,11,759,200,195,179,185,G:29|R:91,G:20|R:100,G:41|R:79,G:25|R:95,17.77,32.55
Monday,12,260,73,59,67,61,G:51|R:69,G:45|R:75,G:35|R:85,G:54|R:66,5.79,42.67
Monday,13,760,184,208,188,180,G:47|R:73,G:34|R:86,G:30|R:90,G:42|R:78,8.3,39.84
Monday,14,736,181,190,187,178,G:55|R:65,G:57|R:63,G:20|R:100,G:32|R:88,19.54,15.89
Monday,15,754,205,173,186,190,G:40|R:80,G:49|R:71,G:51|R:69,G:36|R:84,16.33,37.27
Monday,16,633,149,161,155,168,G:24|R:96,G:51|R:69,G:58|R:62,G:41|R:79,16.6,43.51
Monday,17,357,92,89,89,87,G:34|R:86,G:53|R:67,G:41|R:79,G:58|R:62,6.3,31.12
Monday,18,405,114,101,95,95,G:37|R:83,G:23|R:97,G:38|R:82,G:22|R:98,8.79,15.86
Monday,19,720,184,156,199,181,G:46|R:74,G:41|R:79,G:53|R:67,G:21|R:99,15.12,38.75
Monday,20,839,200,241,192,206,G:32|R:88,G:53|R:67,G:52|R:68,G:51|R:69,6.27,22.94
Monday,21,373,88,95,92,98,G:20|R:70,G:47|R:43,G:37|R:53,G:31|R:59,5.55,10.26
Monday,22,297,78,68,73,78,G:50|R:40,G:31|R:59,G:59|R:31,G:22|R:68,11.21,37.04
Monday,23,210,52,51,56,51,G:24|R:66,G:57|R:33,G:50|R:40,G:24|R:66,13.83,44.62
Tuesday,0,229,55,63,57,54,G:54|R:36,G:55|R:35,G:59|R:31,G:56|R:34,17.5,35.3
Tuesday,1,344,80,72,116,76,G:55|R:35,G:22|R:68,G:58|R:32,G:30|R:60,17.49,22.16
Tuesday,2,315,80,77,72,86,G:28|R:62,G:41|R:49,G:29|R:61,G:23|R:67,7.55,12.12
Tuesday,3,318,80,88,77,73,G:40|R:50,G:36|R:54,G:22|R:68,G:29|R:61,7.54,10.32
Tuesday,4,112,27,31,32,22,G:34|R:56,G:31|R:59,G:43|R:47,G:52|R:38,11.58,25.61
Tuesday,5,339,77,85,92,85,G:29|R:61,G:44|R:46,G:24|R:66,G:25|R:65,11.51,36.9
