Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_4_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Signal_4_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,168,40,35,51,42,G:47|R:43,G:57|R:33,G:29|R:61,G:56|R:34,12.72,27.26
Monday,1,252,73,59,54,66,G:51|R:39,G:34|R:56,G:40|R:50,G:51|R:39,9.11,38.56
Monday,2,217,53,54,55,55,G:51|R:39,G:26|R:64,G:22|R:68,G:26|R:64,11.06,42.12
Monday,3,253,76,58,54,65,G:44|R:46,G:47|R:43,G:29|R:61,G:58|R:32,17.68,39.02
Monday,4,244,72,49,58,65,G:30|R:60,G:47|R:43,G:46|R:44,G:33|R:57,8.74,35.45
Monday,5,182,44,47,43,48,G:25|R:65,G:34|R:56,G:40|R:50,G:45|R:45,16.24,21.76
Monday,6,350,98,70,102,80,G:22|R:68,G:56|R:34,G:34|R:56,G:39|R:51,16.76,34.04
Monday,7,628,146,170,161,151,G:37|R:83,G:34|R:86,G:40|R:80,G:54|R:66,15.36,23.95
Monday,8,652,179,156,159,158,G:26|R:94,G:35|R:85,G:55|R:65,G:53|R:67,12.14,34.33
Monday,9,596,137,153,143,163,G:53|R:67,G:27|R:93,G:34|R:86,G:53|R:67,11.46,18.48
Monday,10,337,89,83,91,74,G:40|R:80,G:55|R:65,G:35|R:85,G:52|R:68,6.38,39.27
Monday,11,586,160,131,168,127,G:25|R:95,G:56|R:64,G:20|R:100,G:39|R:81,14.14,34.41
Monday,12,743,184,176,184,199,G:58|R:62,G:40|R:80,G:54|R:66,G:20|R:100,5.03,18.25
Monday,13,281,72,71,56,82,G:48|R:72,G:53|R:67,G:56|R:64,G:23|R:97,19.09,17.46
Monday,14,981,254,230,242,255,G:58|R:62,G:43|R:77,G:31|R:89,G:43|R:77,6.4,26.14
Monday,15,729,198,181,181,169,G:53|R:67,G:43|R:77,G:57|R:63,G:57|R:63,7.14,12.05
Monday,16,356,93,82,100,81,G:41|R:79,G:35|R:85,G:43|R:77,G:48|R:72,6.88,19.09
Monday,17,713,191,179,155,188,G:52|R:68,G:42|R:78,G:31|R:89,G:50|R:70,11.37,11.29
Monday,18,695,156,173,185,181,G:48|R:72,G:21|R:99,G:46|R:74,G:59|R:61,15.11,12.32
Monday,19,282,77,65,70,70,G:22|R:98,G:59|R:61,G:55|R:65,G:30|R:90,14.77,15.76
Monday,20,271,67,75,69,60,G:49|R:71,G:22|R:98,G:43|R:77,G:49|R:71,18.54,27.09
Monday,21,393,105,100,100,88,G:57|R:33,G:52|R:38,G:37|R:53,G:58|R:32,15.42,16.61
Monday,22,71,25,10,18,18,G:52|R:38,G:36|R:54,G:33|R:57,G:26|R:64,10.64,36.01
Monday,23,306,74,84,73,75,G:22|R:68,G:31|R:59,G:51|R:39,G:55|R:35,13.53,41.59
Tuesday,0,227,58,74,52,43,G:52|R:38,G:57|R:33,G:52|R:38,G:30|R:60,19.92,25.63
Tuesday,1,206,63,47,52,44,G:45|R:45,G:32|R:58,G:30|R:60,G:49|R:41,18.62,29.13
Tuesday,2,185,38,52,38,57,G:49|R:41,G:34|R:56,G:37|R:53,G:42|R:48,14.09,12.44
Tuesday,3,283,79,88,62,54,G:30|R:60,G:24|R:66,G:49|R:41,G:54|R:36,12.44,23.7
Tuesday,4,117,28,31,22,36,G:21|R:69,G:22|R:68,G:29|R:61,G:36|R:54,10.65,24.01
Tuesday,5,120,23,26,37,34,G:20|R:70,G:35|R:55,G:27|R:63,G:25|R:65,11.51,12.57
Tuesday,6,374,92,80,107,95,G:49|R:41,G:55|R:35,G:34|R:56,G:58|R:32,14.23,43.95
Tuesday,7,752,202,194,172,184,G:51|R:69,G:42|R:78,G:33|R:87,G:23|R:97,6.44,16.06
Tuesday,8,893,220,239,219,215,G:39|R:81,G:51|R:69,G:30|R:90,G:56|R:64,14.85,36.75
Tuesday,9,925,254,236,205,230,G:24|R:96,G:44|R:76,G:48|R:72,G:20|R:100,8.65,25.16
Tuesday,10,771,204,195,196,176,G:59|R:61,G:41|R:79,G:24|R:96,G:42|R:78,15.12,36.42
Tuesday,11,928,232,243,210,243,G:56|R:64,G:46|R:74,G:37|R:83,G:43|R:77,18.87,13.83
Tuesday,12,700,184,175,171,170,G:20|R:100,G:48|R:72,G:31|R:89,G:24|R:96,15.76,32.23
Tuesday,13,258,61,60,72,65,G:51|R:69,G:31|R:89,G:24|R:96,G:50|R:70,8.21,22.38
Tuesday,14,754,187,182,198,187,G:57|R:63,G:33|R:87,G:36|R:84,G:41|R:79,6.71,32.79
Tuesday,15,537,146,126,144,121,G:20|R:100,G:41|R:79,G:34|R:86,G:35|R:85,14.44,17.67
