Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_4_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Signal_4_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,319,83,79,84,73,G:35|R:55,G:45|R:45,G:48|R:42,G:32|R:58,6.26,37.93
Monday,1,155,36,34,48,37,G:51|R:39,G:55|R:35,G:32|R:58,G:32|R:58,10.27,13.83
Monday,2,208,64,49,46,49,G:57|R:33,G:45|R:45,G:46|R:44,G:56|R:34,16.0,15.6
Monday,3,262,65,59,73,65,G:54|R:36,G:48|R:42,G:33|R:57,G:39|R:51,12.49,10.67
Monday,4,334,86,83,78,87,G:44|R:46,G:41|R:49,G:20|R:70,G:59|R:31,13.19,11.93
Monday,5,114,25,30,30,29,G:22|R:68,G:36|R:54,G:44|R:46,G:57|R:33,16.05,42.01
Monday,6,147,39,30,33,45,G:34|R:56,G:34|R:56,G:58|R:32,G:38|R:52,15.92,11.76
Monday,7,559,148,128,131,152,G:29|R:91,G:49|R:71,G:42|R:78,G:42|R:78,6.31,43.52
Monday,8,362,90,86,97,89,G:45|R:75,G:28|R:92,G:34|R:86,G:45|R:75,16.55,10.17
Monday,9,910,235,240,212,223,G:29|R:91,G:50|R:70,G:34|R:86,G:38|R:82,12.34,25.88
Monday,10,944,260,224,228,232,G:30|R:90,G:59|R:61,G:24|R:96,G:23|R:97,13.1,34.67
Monday,11,995,259,242,246,248,G:58|R:62,G:31|R:89,G:23|R:97,G:48|R:72,13.72,22.49
Monday,12,331,96,68,92,75,G:56|R:64,G:43|R:77,G:53|R:67,G:43|R:77,19.38,19.29
Monday,13,321,95,74,85,67,G:40|R:80,G:48|R:72,G:33|R:87,G:22|R:98,13.28,26.38
Monday,14,811,213,206,203,189,G:32|R:88,G:57|R:63,G:44|R:76,G:36|R:84,6.57,27.59
Monday,15,983,231,235,274,243,G:52|R:68,G:42|R:78,G:41|R:79,G:29|R:91,11.29,28.05
Monday,16,264,63,83,55,63,G:39|R:81,G:36|R:84,G:57|R:63,G:39|R:81,7.87,15.66
Monday,17,862,201,196,240,225,G:29|R:91,G:39|R:81,G:23|R:97,G:43|R:77,18.87,18.58
Monday,18,455,118,90,118,129,G:22|R:98,G:36|R:84,G:50|R:70,G:43|R:77,12.84,19.83
Monday,19,266,74,58,71,63,G:44|R:76,G:53|R:67,G:25|R:95,G:58|R:62,10.01,18.86
Monday,20,776,186,207,204,179,G:22|R:98,G:21|R:99,G:44|R:76,G:36|R:84,7.75,17.46
Monday,21,299,75,75,79,70,G:59|R:31,G:29|R:61,G:34|R:56,G:37|R:53,10.74,30.6
Monday,22,355,91,77,103,84,G:39|R:51,G:36|R:54,G:50|R:40,G:56|R:34,12.89,16.23
Monday,23,290,78,72,77,63,G:51|R:39,G:21|R:69,G:25|R:65,G:27|R:63,13.72,39.8
Tuesday,0,269,65,66,61,77,G:20|R:70,G:31|R:59,G:24|R:66,G:51|R:39,15.81,26.37
Tuesday,1,201,59,51,44,47,G:49|R:41,G:26|R:64,G:58|R:32,G:27|R:63,19.13,19.77
Tuesday,2,386,98,85,116,87,G:46|R:44,G:26|R:64,G:58|R:32,G:40|R:50,13.24,15.57
