Day,Hour,Total_Vehicles,Signal_1_Vehicles,Signal_2_Vehicles,Signal_3_Vehicles,Signal_1_Timings,Signal_2_Timings,Signal_3_Timings,Avg_Queue_Length,Avg_Delay_Time
Monday,0,116,37,37,42,G:39|R:51,G:55|R:35,G:46|R:44,18.43,14.08
Monday,1,144,57,44,43,G:53|R:37,G:34|R:56,G:38|R:52,17.8,10.87
Monday,2,275,79,94,102,G:58|R:32,G:43|R:47,G:25|R:65,8.9,24.19
Monday,3,284,97,91,96,G:34|R:56,G:58|R:32,G:49|R:41,6.7,24.69
Monday,4,217,72,67,78,G:41|R:49,G:55|R:35,G:24|R:66,11.86,24.92
Monday,5,282,90,93,99,G:54|R:36,G:38|R:52,G:24|R:66,15.32,20.03
Monday,6,311,97,101,113,G:50|R:40,G:28|R:62,G:47|R:43,12.96,15.02
Monday,7,995,351,310,334,G:27|R:93,G:26|R:94,G:50|R:70,12.48,32.93
Monday,8,904,315,289,300,G:49|R:71,G:59|R:61,G:42|R:78,7.37,42.05
Monday,9,447,162,147,138,G:22|R:98,G:43|R:77,G:58|R:62,7.48,11.76
Monday,10,735,240,238,257,G:47|R:73,G:41|R:79,G:41|R:79,5.27,14.83
Monday,11,655,218,218,219,G:24|R:96,G:28|R:92,G:37|R:83,9.23,40.35
Monday,12,844,290,257,297,G:56|R:64,G:55|R:65,G:50|R:70,8.28,33.97
Monday,13,822,273,264,285,G:20|R:100,G:56|R:64,G:29|R:91,19.04,14.66
Monday,14,491,168,161,162,G:41|R:79,G:49|R:71,G:23|R:97,18.23,23.69
Monday,15,776,246,273,257,G:51|R:69,G:49|R:71,G:46|R:74,6.63,14.89
Monday,16,330,104,120,106,G:33|R:87,G:21|R:99,G:39|R:81,7.09,44.1
Monday,17,506,177,173,156,G:34|R:86,G:57|R:63,G:58|R:62,12.37,27.42
Monday,18,899,281,326,292,G:56|R:64,G:20|R:100,G:21|R:99,15.01,13.45
Monday,19,574,183,201,190,G:20|R:100,G:46|R:74,G:57|R:63,16.9,36.59
Monday,20,598,212,188,198,G:42|R:78,G:31|R:89,G:47|R:73,9.46,25.36
Monday,21,66,16,25,25,G:27|R:63,G:32|R:58,G:44|R:46,17.22,20.24
Monday,22,186,71,55,60,G:44|R:46,G:25|R:65,G:51|R:39,19.22,37.72
Monday,23,292,111,88,93,G:32|R:58,G:49|R:41,G:52|R:38,9.95,23.3
Tuesday,0,244,71,78,95,G:50|R:40,G:39|R:51,G:24|R:66,5.05,10.83
Tuesday,1,56,14,19,23,G:54|R:36,G:57|R:33,G:34|R:56,5.87,10.29
Tuesday,2,190,62,72,56,G:31|R:59,G:54|R:36,G:25|R:65,6.11,36.03
Tuesday,3,386,133,125,128,G:34|R:56,G:37|R:53,G:29|R:61,8.37,31.15
Tuesday,4,350,115,121,114,G:27|R:63,G:27|R:63,G:44|R:46,13.2,33.84
Tuesday,5,148,40,57,51,G:58|R:32,G:50|R:40,G:53|R:37,19.88,23.19
Tuesday,6,65,23,22,20,G:56|R:34,G:42|R:48,G:25|R:65,12.64,18.58
Tuesday,7,530,195,161,174,G:53|R:67,G:31|R:89,G:44|R:76,17.24,40.53
Tuesday,8,375,128,121,126,G:37|R:83,G:29|R:91,G:43|R:77,16.01,21.94
Tuesday,9,939,328,303,308,G:50|R:70,G:25|R:95,G:44|R:76,17.95,31.6
Tuesday,10,203,64,66,73,G:31|R:89,G:46|R:74,G:47|R:73,14.39,32.36
Tuesday,11,248,94,72,82,G:41|R:79,G:27|R:93,G:47|R:73,5.43,24.38
Tuesday,12,515,177,158,180,G:59|R:61,G:28|R:92,G:49|R:71,9.74,43.76
Tuesday,13,985,323,323,339,G:51|R:69,G:39|R:81,G:43|R:77,8.38,29.29
Tuesday,14,861,281,290,290,G:42|R:78,G:22|R:98,G:42|R:78,14.54,23.28
Tuesday,15,900,290,296,314,G:32|R:88,G:46|R:74,G:52|R:68,14.88,18.78
Tuesday,16,235,86,74,75,G:40|R:80,G:29|R:91,G:26|R:94,7.72,36.91
Tuesday,17,829,265,261,303,G:21|R:99,G:57|R:63,G:40|R:80,13.46,40.6
Tuesday,18,340,128,100,112,G:57|R:63,G:35|R:85,G:32|R:88,18.82,11.62
Tuesday,19,793,255,276,262,G:26|R:94,G:55|R:65,G:33|R:87,16.57,41.04
Tuesday,20,658,222,217,219,G:24|R:96,G:20|R:100,G:54|R:66,16.56,44.06
Tuesday,21,57,19,19,19,G:28|R:62,G:55|R:35,G:41|R:49,19.94,29.92
Tuesday,22,185,69,63,53,G:27|R:63,G:32|R:58,G:48|R:42,12.05,11.05
Tuesday,23,70,23,20,27,G:43|R:47,G:53|R:37,G:26|R:64,13.13,43.75
Wednesday,0,361,118,129,114,G:31|R:59,G:47|R:43,G:31|R:59,18.64,13.19
Wednesday,1,102,36,29,37,G:32|R:58,G:37|R:53,G:26|R:64,15.39,24.0
Wednesday,2,223,70,75,78,G:21|R:69,G:25|R:65,G:42|R:48,18.45,44.49
Wednesday,3,245,83,84,78,G:39|R:51,G:48|R:42,G:38|R:52,8.31,44.49
Wednesday,4,374,107,135,132,G:49|R:41,G:21|R:69,G:25|R:65,13.42,22.49
Wednesday,5,267,92,86,89,G:23|R:67,G:40|R:50,G:36|R:54,8.04,38.53
Wednesday,6,249,75,79,95,G:44|R:46,G:24|R:66,G:26|R:64,5.38,37.73
Wednesday,7,904,294,305,305,G:41|R:79,G:28|R:92,G:27|R:93,7.14,31.96
Wednesday,8,297,100,99,98,G:46|R:74,G:53|R:67,G:28|R:92,19.1,44.56
Wednesday,9,301,114,88,99,G:46|R:74,G:57|R:63,G:48|R:72,10.08,23.48
Wednesday,10,388,118,141,129,G:55|R:65,G:46|R:74,G:47|R:73,18.23,42.03
Wednesday,11,274,93,95,86,G:26|R:94,G:32|R:88,G:47|R:73,15.21,21.99
Wednesday,12,769,267,251,251,G:39|R:81,G:20|R:100,G:40|R:80,17.93,34.56
Wednesday,13,435,143,155,137,G:39|R:81,G:23|R:97,G:36|R:84,9.92,31.72
